Item;Descrição;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
1;Alfinete mapa cabeça redonda caixa c/50 unidades;JOCAR;CAIXA COM 50 UNID;4,90;5;5;0,00;0
2;Aplicador tipo pistola para cola quente 220V 7MMx300MM;GATTE;UNIDADE;14,20;6;0;85,20;6
3;Apontador lápis plástico tipo escolar com depósito;LEONORA;UNIDADE;1,06;40;40;0,00;0
4;Balões (bexiga) em látex nº7 pacote com 50 unidades;FESTBALL;PACOTE COM 50 UNID;7,45;100;50;372,50;50
5;Bandeja documentos acrílica tipo tripla 350x250x60mm;WALEU;UNIDADE;44,90;13;0;583,70;13
6;Barbante de algodão nº8 cor cru rolo 1kg;IMPERADOR;UNIDADE;24,20;100;50;1.210,00;50
7;Barbante de sisal cor natural rolo 1kg;EUROROMA;UNIDADE;22,40;50;0;1.120,00;50
8;Bastão de silicone para cola quente 7mm 1kg;RENDICOLA;UNIDADE;45,40;10;3;317,80;7
9;Binder clips 15mm caixa com 12 unidades;BAZZE;CAIXA COM 12 UNID;2,70;50;30;54,00;20
10;Binder clips 25mm caixa com 12 unidades;BAZZE;CAIXA COM 12 UNID;9,70;65;30;339,50;35
11;Binder clips 41mm caixa com 12 unidades;BAZZE;CAIXA COM 12 UNID;14,40;50;30;288,00;20
12;Binder clips 51mm caixa com 12 unidades;BAZZE;CAIXA COM 12 UNID;19,70;50;25;492,50;25
13;Bloco adesivo 38x50mm pacote com 4 unidades de 100 folhas (Post-it pequeno);JOCAR;PACOTE COM 4 UNID;4,50;200;0;900,00;200
14;Bloco adesivo 76x76mm com 100 folhas (Post-it grande);JOCAR;UNIDADE;3,65;250;0;912,50;250
15;Borracha de apagar branca com capa protetora;LEONORA;UNIDADE;1,20;60;60;0,00;0
16;Caderno grande capa dura espiral 15 matérias 240 folhas;ASTRAL;UNIDADE;19,70;20;0;394,00;20
17;Caderno grande capa dura espiral 96 folhas;ASTRAL;UNIDADE;9,55;65;40;238,75;25
18;Caderno pequeno capa dura espiral 96 folhas;ASTRAL;UNIDADE;5,30;65;40;132,50;25
19;Caixa arquivo morto desmontável plástico 350x250x130mm;POLIBRAS;UNIDADE;4,70;50;0;235,00;50
20;Caixa correspondência acrílico incolor tipo tripla 370x255x180mm;WALEU;UNIDADE;38,00;25;0;950,00;25
21;Caixa organizadora desmontável com tampa plástico grande 30 litros;POLIBRAS;UNIDADE;31,20;40;0;1.248,00;40
22;Caixa organizadora desmontável com tampa plástico média 16,5 litros;POLIBRAS;UNIDADE;27,60;40;0;1.104,00;40
23;Calculadora eletrônica 12 dígitos tipo mesa solar/bateria;HM;UNIDADE;18,00;20;0;360,00;20
24;Caneta esferográfica tinta azul caixa com 50 unidades;BIC;CAIXA COM 50 UNID;39,00;60;30;1.170,00;30
25;Caneta esferográfica tinta preta caixa com 50 unidades;BIC;CAIXA COM 50 UNID;39,00;10;10;0,00;0
26;Caneta esferográfica tinta vermelha caixa com 50 unidades;BIC;CAIXA COM 50 UNID;39,00;10;0;390,00;10
27;Caneta marcadora para CD/DVD 1,0mm preta;BRW;UNIDADE;7,40;26;26;0,00;0
28;Caneta marca-texto ponta chanfrada cores fluorescentes;MASTERPRINT;UNIDADE;1,70;200;100;170,00;100
29;Clips para papéis tamanho 2/0 niquelado caixa com 100 unidades;CHAPARRAU;CAIXA COM 100 UNID;2,50;200;0;500,00;200
30;Clips para papéis tamanho 3/0 niquelado caixa com 100 unidades;CHAPARRAU;CAIXA COM 100 UNID;2,20;200;0;440,00;200
31;Clips para papéis tamanho 6/0 niquelado caixa com 50 unidades;CHAPARRAU;CAIXA COM 50 UNID;2,80;200;0;560,00;200
32;Clips para papéis tamanho 8/0 niquelado caixa com 25 unidades;CHAPARRAU;CAIXA COM 25 UNID;2,80;200;0;560,00;200
